Số thứ tự,"Tên tỉnh, thành phố",Tỉnh lỵ,Khu vực,Dân số người,Diện tích (km²),Mật độ (người/km²),Hành chính cấp huyện,Biển số xe,Mã vùng ĐT
1,An Giang,Thành phố Long Xuyên,Đồng bằng sông Cửu Long,1.908.352,"3.536,7",540,11,67,296
2,Bà Rịa – Vũng Tàu,Thành phố Bà Rịa,Đông Nam Bộ,1.148.313,"1.980,8",580,8,72,254
3,Bạc Liêu,Thành phố Bạc Liêu,Đồng bằng sông Cửu Long,907.236,2.669,340,7,94,291
4,Bắc Giang,Thành phố Bắc Giang,Đông Bắc Bộ,1.803.950,"3.851,4",468,10,13 và 98,204
5,Bắc Kạn,Thành phố Bắc Kạn,Đông Bắc Bộ,313.905,4.86,65,8,97,209
6,Bắc Ninh,Thành phố Bắc Ninh,Đồng bằng sông Hồng,1.368.840,"822,7",1.664,8,13 và 99,222
7,Bến Tre,Thành phố Bến Tre,Đồng bằng sông Cửu Long,1.288.463,"2.394,6",538,9,71,275
8,Bình Dương,Thành phố Thủ Dầu Một,Đông Nam Bộ,2.426.561,"2.694,7",900,9,61,274
9,Bình Định,Thành phố Quy Nhơn,Duyên hải Nam Trung Bộ,1.486.918,"6.066,2",245,11,77,256
10,Bình Phước,Thành phố Đồng Xoài,Đông Nam Bộ,994.679,6.877,145,11,93,271
11,Bình Thuận,Thành phố Phan Thiết,Duyên hải Nam Trung Bộ,1.230.808,"7.812,8",158,10,86,252
12,Cà Mau,Thành phố Cà Mau,Đồng bằng sông Cửu Long,1.194.476,"5.294,8",226,9,69,290
13,Cao Bằng,Thành phố Cao Bằng,Đông Bắc Bộ,530.341,"6.700,3",79,10,11,206
14,Cần Thơ,Quận Ninh Kiều,Đồng bằng sông Cửu Long,1.235.171,"1.439,2",858,9,65,292
15,Đà Nẵng,Quận Hải Châu,Duyên hải Nam Trung Bộ,1.134.310,"1.284,9",883,8,43,236
16,Đắk Lắk,Thành phố Buôn Ma Thuột,Tây Nguyên,1.869.322,"13.030,5",143,15,47,262
17,Đắk Nông,Thành phố Gia Nghĩa,Tây Nguyên,622.168,"6.509,3",96,8,48,261
18,Điện Biên,Thành phố Điện Biên Phủ,Tây Bắc Bộ,598.856,9.541,63,10,27,215
19,Đồng Nai,Thành phố Biên Hòa,Đông Nam Bộ,3.097.107,"5.905,7",524,11,39 và 60,251
20,Đồng Tháp,Thành phố Cao Lãnh,Đồng bằng sông Cửu Long,1.599.504,"3.383,8",473,12,66,277
21,Gia Lai,Thành phố Pleiku,Tây Nguyên,1.513.847,"15.510,8",98,17,81,269
22,Hà Giang,Thành phố Hà Giang,Đông Bắc Bộ,854.679,"7.929,5",108,11,23,219
23,Hà Nam,Thành phố Phủ Lý,Đồng bằng sông Hồng,852.8,"860,9",991,6,90,226
24,Hà Nội,Quận Hoàn Kiếm,Đồng bằng sông Hồng,8.053.663,"3.358,9",2.398,30,29 đến 33 và 40,24
25,Hà Tĩnh,Thành phố Hà Tĩnh,Bắc Trung Bộ,1.288.866,"5.990,7",215,13,38,239
26,Hải Dương,Thành phố Hải Dương,Đồng bằng sông Hồng,1.892.254,"1.668,2",1.135,12,34,220
27,Hải Phòng,Quận Hồng Bàng,Đồng bằng sông Hồng,2.028.514,"1.522,5",1.332,15,15 và 16,225
28,Hậu Giang,Thành phố Vị Thanh,Đồng bằng sông Cửu Long,733.017,"1.621,8",452,8,95,293
29,Hòa Bình,Thành phố Hòa Bình,Tây Bắc Bộ,854.131,4.591,186,10,28,218
30,Thành phố Hồ Chí Minh,Quận 1,Đông Nam Bộ,8.993.082,2.061,4.363,22,50 đến 59 và 41,28
31,Hưng Yên,Thành phố Hưng Yên,Đồng bằng sông Hồng,1.252.731,"930,2",1.347,10,89,221
32,Khánh Hòa,Thành phố Nha Trang,Duyên hải Nam Trung Bộ,1.231.107,"5.137,8",240,9,79,258
33,Kiên Giang,Thành phố Rạch Giá,Đồng bằng sông Cửu Long,1.723.067,"6.348,8",271,15,68,297
34,Kon Tum,Thành phố Kon Tum,Tây Nguyên,540.438,"9.674,2",56,10,82,260
35,Lai Châu,Thành phố Lai Châu,Tây Bắc Bộ,460.196,"9.068,8",51,8,25,213
36,Lạng Sơn,Thành phố Lạng Sơn,Đông Bắc Bộ,781.655,"8.310,2",94,11,12,205
37,Lào Cai,Thành phố Lào Cai,Tây Bắc Bộ,730.42,6.364,115,9,24,214
38,Lâm Đồng,Thành phố Đà Lạt,Tây Nguyên,1.296.606,"9.783,2",133,12,49,263
39,Long An,Thành phố Tân An,Đồng bằng sông Cửu Long,1.688.547,"4.490,2",376,15,62,272
40,Nam Định,Thành phố Nam Định,Đồng bằng sông Hồng,1.780.393,1.668,1.067,10,18,228
41,Nghệ An,Thành phố Vinh,Bắc Trung Bộ,3.327.791,"16.493,7",202,21,37,238
42,Ninh Bình,Thành phố Ninh Bình,Đồng bằng sông Hồng,982.487,1.387,708,8,35,229
43,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Duyên hải Nam Trung Bộ,590.467,"3.355,3",176,7,85,259
44,Phú Thọ,Thành phố Việt Trì,Đông Bắc Bộ,1.463.726,"3.534,6",414,13,19,210
45,Phú Yên,Thành phố Tuy Hòa,Duyên hải Nam Trung Bộ,961.152,"5.023,4",191,9,78,257
46,Quảng Bình,Thành phố Đồng Hới,Bắc Trung Bộ,895.43,"8.065,3",111,8,73,232
47,Quảng Nam,Thành phố Tam Kỳ,Duyên hải Nam Trung Bộ,1.495.812,"10.574,7",141,18,92,235
48,Quảng Ngãi,Thành phố Quảng Ngãi,Duyên hải Nam Trung Bộ,1.231.697,"5.135,2",240,13,76,255
49,Quảng Ninh,Thành phố Hạ Long,Đông Bắc Bộ,1.320.324,"6.177,7",214,13,14,203
50,Quảng Trị,Thành phố Đông Hà,Bắc Trung Bộ,632.375,"4.739,8",133,10,74,233
51,Sóc Trăng,Thành phố Sóc Trăng,Đồng bằng sông Cửu Long,1.199.653,"3.311,8",362,11,83,299
52,Sơn La,Thành phố Sơn La,Tây Bắc Bộ,1.248.415,"14.123,5",88,12,26,212
53,Tây Ninh,Thành phố Tây Ninh,Đông Nam Bộ,1.169.165,"4.041,4",289,9,70,276
54,Thái Bình,Thành phố Thái Bình,Đồng bằng sông Hồng,1.860.447,"1.570,5",1.185,8,17,227
55,Thái Nguyên,Thành phố Thái Nguyên,Đông Bắc Bộ,1.286.751,"3.536,4",364,9,20,208
56,Thanh Hóa,Thành phố Thanh Hóa,Bắc Trung Bộ,3.640.128,"11.114,7",328,27,36,237
57,Thừa Thiên Huế,Thành phố Huế,Bắc Trung Bộ,1.128.620,"5.048,2",224,9,75,234
58,Tiền Giang,Thành phố Mỹ Tho,Đồng bằng sông Cửu Long,1.764.185,"2.510,5",703,11,63,273
59,Trà Vinh,Thành phố Trà Vinh,Đồng bằng sông Cửu Long,1.009.168,"2.358,2",428,9,84,294
60,Tuyên Quang,Thành phố Tuyên Quang,Đông Bắc Bộ,784.811,"5.867,9",134,7,22,207
61,Vĩnh Long,Thành phố Vĩnh Long,Đồng bằng sông Cửu Long,1.022.791,1.475,693,8,64,270
62,Vĩnh Phúc,Thành phố Vĩnh Yên,Đồng bằng sông Hồng,1.154.154,"1.235,2",934,9,88,211
63,Yên Bái,Thành phố Yên Bái,Tây Bắc Bộ,821.03,"6.887,7",119,9,21,216
